Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
63.7,89504534456,24,3729355602.3,3529583302,3803031112,60717608.1,CUDA_API,cuCtxCreate_v2
35.1,49269892127,24,2052912172.0,2011329814,2094849905,20267652.9,CUDA_API,cuCtxDestroy_v2
0.4,585459776,72,8131385.8,9094,44841928,14459205.8,CUDA_API,cuMemHostAlloc
0.3,405028178,144,2812695.7,8729,21743520,5599892.9,CUDA_API,cuMemFreeHost
0.1,187752978,216,869226.8,6260,10455108,2090336.8,CUDA_API,cuMemFree_v2
0.1,181388293,216,839760.6,4916,10520304,2207437.3,CUDA_API,cuMemAlloc_v2
0.1,180688016,5700,31699.7,1666,615100,73388.1,CUDA_API,cuEventSynchronize
0.0,46356954,72,643846.6,7755,10303957,1641020.8,CUDA_API,cuMemAllocHost_v2
0.0,32963632,9168,3595.5,1945,40286,1598.4,CUDA_API,cuEventRecord
0.0,32786636,1524,21513.5,1568,43072,10799.9,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,21210642,1440,14729.6,5561,59848,5812.6,CUDA_API,cuLaunchKernel
0.0,18041821,12,1503485.1,1263504,1781029,174499.6,CUDA_API,cuMemGetInfo_v2
0.0,17322138,1212,14292.2,13376,33089,1056.4,CUDA_KERNEL,k_lj_fast
0.0,16141613,1488,10847.9,3985,35459,4102.9,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,10508552,1368,7681.7,4419,27359,2236.4,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,7912687,48,164847.6,74790,304586,64502.0,CUDA_API,cuModuleLoadDataEx
0.0,5991847,1392,4304.5,1696,12256,1013.1,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,4156396,72,57727.7,56448,62464,1497.7,CUDA_KERNEL,calc_neigh_list_cell
0.0,3369532,264,12763.4,2331,214761,27175.8,CUDA_API,cuStreamSynchronize
0.0,1568535,36,43570.4,17371,67001,16747.0,CUDA_API,cuMemcpyHtoD_v2
0.0,1019540,24,42480.8,32731,69312,9074.6,CUDA_API,cuMemcpyDtoH_v2
0.0,536990,132,4068.1,3295,5216,585.2,CUDA_KERNEL,kernel_zero
0.0,535061,384,1393.4,536,15554,1357.8,CUDA_API,cuEventCreate
0.0,316671,384,824.7,338,3502,482.5,CUDA_API,cuEventDestroy_v2
0.0,195641,12,16303.4,13591,22867,2619.8,CUDA_API,cuMemsetD8Async
0.0,91966,24,3831.9,3520,4192,189.8,CUDA_KERNEL,kernel_info
0.0,67855,12,5654.6,4935,6390,355.1,CUDA_API,cuInit
0.0,24066,12,2005.5,1824,2177,167.8,MEMORY_OPER,[CUDA memset]

